group, axis, value, description
Salad, Joy,3, only human
Salad, Disgust,3,  only human
Salad, Fear,2,  only human
Salad, Surprise,3,  only human
Salad, Sad,1,  only human
Salad, Anger,6, able to judge combat decisively 
Fries, Joy,7, Smart entreprenuer
Fries, Disgust,1, Powered by his suit
Fries, Fear,2, rocket boosters
Fries, Surprise,6, tough durable material
Fries, Sad,2, 
Fries, Anger,4, 
Bread, Joy,3, Scientist brilliance
Bread, Disgust,7, Insanely strong
Bread, Fear,3, clumsy
Bread, Surprise,7, Close to industructible
Bread, Sad,1, 
Bread, Anger,4, great at SMASHING
