group, axis, value, description
New England Fried Shrimp, Joy,2, 
New England Fried Shrimp, Disgust,10, 
New England Fried Shrimp, Fear,8, 
New England Fried Shrimp, Surprise,9, 
New England Fried Shrimp, Sad,7, 
New England Fried Shrimp, Anger,7, 
Crispy Fish Tacos, Joy,10, 
Crispy Fish Tacos, Disgust,6, 
Crispy Fish Tacos, Fear,7, 
Crispy Fish Tacos, Surprise,6, 
Crispy Fish Tacos, Sad,3, 
Crispy Fish Tacos, Anger,5, 
Grilled Angus Burger, Joy,5, 
Grilled Angus Burger, Disgust,4, 
Grilled Angus Burger, Fear,6, 
Grilled Angus Burger, Surprise,4, 
Grilled Angus Burger, Sad,5, 
Grilled Angus Burger, Anger,6, 
