Music,Private Room,Music Played,Mood,Music Genre
S1,Room1,yes,Sad,S1
S1,Room1,yes,Happy,S1
S1,Room1,yes,Sad,S1
JE,Room1,yes,Happy,3
WT,Room1,yes,Neutral,1
S1,Room1,yes,Sad,S1
RM,Room1,yes,Sad,3
S1,Room1,yes,Neutral,S1
WE,Room1,yes,Sad,2
WB,Room1,yes,Sad,3
H0,Room1,yes,Neutral,H0
LB,Room1,yes,Happy,1
BL,Room1,yes,Happy,3
H0,Room1,yes,Neutral,H0
BL,Room1,yes,Happy,3
WP,Room1,yes,Sad,2
ME,Room1,yes,Neutral,1
BT,Room1,yes,Happy,1
OR,Room1,yes,Happy,3
S1,Room1,yes,Sad,S1
S1,Room1,yes,Happy,S1
BZ,Room1,yes,Happy,3
BE,Room1,yes,Sad,3
LB,Room1,yes,Neutral,1
GR,Room1,yes,Sad,2
BU,Room1,yes,Sad,3
BU,Room1,yes,Neutral,3
BU,Room1,yes,Happy,3
BU,Room1,yes,Sad,3
BU,Room1,yes,Happy,3
BU,Room1,yes,Happy,3
BU,Room1,yes,Sad,3
BU,Room1,yes,Happy,3
RO,Room1,yes,Sad,3
CH,Room1,yes,Neutral,3
S1,Room1,yes,Neutral,S1
CH,Room1,yes,Happy,3
DA,Room1,yes,Neutral,3
H0,Room1,yes,Sad,H0
PW,Room1,yes,Neutral,1
BU,Room1,yes,Happy,3
AR,Room1,yes,Happy,2
CL,Room1,yes,Happy,2
BZ,Room1,yes,Happy,3
BU,Room1,yes,Neutral,3
H0,Room1,yes,Happy,H0
DA,Room1,yes,Happy,3
S1,Room1,yes,Happy,S1
BT,Room1,yes,Happy,1
PO,Room1,yes,Neutral,3
PW,Room1,yes,Neutral,1
NN,Room1,yes,Sad,1
BZ,Room1,yes,Happy,3
BL,Room1,yes,Happy,3
LI,Room1,yes,Neutral,1
LB,Room1,yes,Happy,1
LB,Room1,yes,Happy,1
MM,Room1,yes,Happy,3
S1,Room1,yes,Sad,S1
BU,Room1,yes,Neutral,3
H0,Room1,yes,Happy,H0
ED,Room1,yes,Happy,1
ED,Room1,yes,Happy,1
ED,Room1,yes,Sad,1
S1,Room1,yes,Happy,S1
ED,Room1,yes,Sad,1
PW,Room1,yes,Happy,1
NN,Room1,yes,Sad,1
GA,Room1,yes,Neutral,2
