Age,Brightness,Temperature,Humidity,Meal Carbs,Meal Calories,Meal Protain,Expense
65.2,4.98,65.75,79.38,24,409,0.1264,20.83333333
78.9,9.14,64.21,79.38,21.6,496.71,0.5462,23.14814815
61.1,4.03,71.85,78.566,34.7,496.71,0.5458,14.4092219
45.8,2.94,69.98,78.926,33.4,606.22,0.6474,14.97005988
54.2,5.33,71.47,79.38,36.2,606.22,1.381,13.8121547
58.7,5.21,64.3,78.824,28.7,606.22,0.597,17.42160279
66.6,12.43,60.12,79.12,22.9,556.05,1.7658,21.83406114
96.1,19.15,61.72,79.38,27.1,595.05,2.891,18.4501845
100,29.93,56.31,77.326,16.5,608.21,4.2248,30.3030303
85.9,17.1,60.04,77.342,18.9,659.21,3.4008,26.45502646
94.3,20.45,63.77,78.504,15,634.67,4.4978,33.33333333
82.9,13.27,60.09,79.38,18.9,622.67,2.3494,26.45502646
39,15.71,58.89,78.1,21.7,545.09,1.8756,23.04147465
61.8,8.26,59.49,79.38,20.4,470.75,12.5952,24.50980392
84.5,10.26,60.96,76.004,18.2,446.19,12.7592,27.47252747
56.5,8.47,58.34,79.124,19.9,449.86,12.5478,25.12562814
29.3,6.58,59.35,77.37,23.1,449.86,21.0786,21.64502165
81.7,14.67,59.9,77.35,17.5,425.79,15.684,28.57142857
36.6,11.69,54.56,57.798,20.2,379.65,16.0542,24.75247525
69.5,11.28,57.27,78.19,18.2,379.65,14.516,27.47252747
98.1,21.02,55.7,75.314,13.6,379.79,25.0358,36.76470588
89.2,13.83,59.65,78.506,19.6,401.23,17.0408,25.51020408
91.7,18.72,61.42,79.38,15.2,397.69,24.6494,32.89473684
100,19.88,58.13,78.908,14.5,409.52,19.7686,34.48275862
94.1,16.3,59.24,78.866,15.6,439.96,15.0052,32.05128205
85.7,16.51,55.99,60.684,13.9,445.46,16.8108,35.97122302
90.3,14.81,58.13,75.376,16.6,468.2,13.4382,30.12048193
88.8,17.28,60.47,61.276,14.8,445.34,19.1154,33.78378378
94.4,12.8,64.95,77.588,18.4,445.47,15.4598,27.17391304
87.3,11.98,66.74,76.046,21,423.9,20.049,23.80952381
94.1,22.6,57.13,72.034,12.7,423.3,22.6162,39.37007874
100,13.04,60.72,75.346,14.5,417.5,27.0944,34.48275862
82,27.71,59.5,46.52,13.2,399,27.7598,37.87878788
95,18.35,57.01,71.754,13.1,378.72,23.0344,38.16793893
96.9,20.34,60.96,49.662,13.5,375.98,32.2564,37.03703704
68.2,9.68,59.33,79.38,18.9,336.03,1.2834,26.45502646
61.4,11.41,58.41,75.512,20,337.79,1.9488,25
41.5,8.77,58.5,79.38,21,393.42,1.6028,23.80952381
30.2,10.13,59.66,78.686,24.7,384.73,3.501,20.24291498
21.8,4.32,65.95,79.126,30.8,540.11,0.5526,16.23376623
15.8,1.98,70.24,79.124,34.9,540.11,0.6718,14.32664756
2.9,4.84,67.7,77.082,26.6,572.09,2.5488,18.79699248
6.6,5.81,61.69,76.674,25.3,572.09,2.83,19.76284585
6.5,7.44,62.11,78.892,24.7,572.09,3.1872,20.24291498
40,9.55,60.69,77.878,21.2,572.09,2.4538,23.58490566
33.8,10.21,56.82,79.38,19.3,510.04,3.4284,25.90673575
33.3,14.15,57.86,79.38,20,510.04,3.7672,25
85.5,18.8,60.3,78.548,16.6,568.94,4.5854,30.12048193
95.3,30.81,53.99,79.38,14.4,587,5.0774,34.72222222
62,16.2,56.02,79.38,19.4,608.77,4.3954,25.77319588
45.7,13.45,59.63,79.112,19.7,681.47,1.7746,25.38071066
63,9.43,61.15,78.794,20.5,681.47,0.8674,24.3902439
21.1,5.28,65.11,79.38,25,681.47,1.072,20
21.4,8.43,59.98,79.38,23.4,681.47,0.9962,21.36752137
47.6,14.8,58.88,79.38,18.9,731.97,0.272,26.45502646
21.9,4.81,72.49,79.186,35.4,869.66,0.2622,14.12429379
35.7,5.77,63.83,79.38,24.7,918.76,0.411,20.24291498
40.5,3.95,68.16,78.58,31.6,832.48,0.2864,15.82278481
29.2,6.86,61.45,78.136,23.3,781.48,3.089,21.45922747
47.2,9.22,59.27,79.38,19.6,693.2,2.0656,25.51020408
66.2,13.15,57.41,79.022,18.7,722.54,2.9864,26.73796791
93.4,14.44,59.66,75.616,16,681.85,3.4342,31.25
67.8,6.73,64.56,79.38,22.2,722.55,2.2054,22.52252252
43.4,9.5,67.62,79.116,25,798.09,2.53,20
59.5,8.05,71.04,78.648,33,922.29,0.3902,15.15151515
17.8,4.67,62.9,79.38,23.5,661.15,0.7168,21.27659574
31.1,10.24,57.87,79.38,19.4,661.15,0.8758,25.77319588
21.4,8.1,58.78,79.242,22,649.8,1.1578,22.72727273
36.8,13.09,55.94,79.38,17.4,649.8,2.7108,28.73563218
33,8.79,58.85,79.38,20.9,649.8,2.5632,23.92344498
6.6,6.72,64.17,76.746,24.2,528.73,1.7652,20.66115702
17.5,9.88,59.61,75.388,21.7,528.73,3.1752,23.04147465
7.8,5.52,60.65,78.182,22.8,528.73,1.8328,21.92982456
6.2,7.54,62.45,75.434,23.4,528.73,3.9078,21.36752137
6,6.78,62.73,78.984,24.1,425.15,1.5792,20.74688797
45,8.94,62.86,76.646,21.4,450.26,1.9024,23.36448598
74.5,11.97,62.79,74.732,20,405.22,2.0306,25
45.8,10.27,61.4,77.392,20.8,409.05,1.7414,24.03846154
53.7,12.34,62.32,77.28,21.2,501.41,1.1292,23.58490566
36.6,9.1,58.74,79.212,20.3,450.26,1.6774,24.63054187
33.5,5.29,67.27,79.38,28,540.07,0.8226,17.85714286
70.4,7.22,66.19,79.126,23.9,540.07,0.8924,20.92050209
32.2,6.72,63.02,79.38,24.8,540.07,0.7318,20.16129032
46.7,7.51,61.67,78.128,22.9,540.07,0.7102,21.83406114
